GameID,SeasonID,GameDate,HomeTeamID,AwayTeamID,VenueID,HomeTeamScore,AwayTeamScore,Overtime,Shootout
20001,1,11/28/2000,9,23,1009,1,2,1,1
20002,1,12/18/2000,26,29,1026,1,3,0,0
20003,1,4/29/2001,21,2,1021,4,3,1,0
20004,1,11/30/2000,14,6,1014,5,3,0,0
20005,1,4/9/2001,6,20,1006,2,5,0,0
20006,1,5/30/2001,25,3,1025,5,6,1,1
20007,1,1/22/2001,31,15,1031,4,2,0,0
20008,1,4/27/2001,18,3,1018,2,0,0,0
20009,1,3/29/2001,16,5,1016,4,1,0,0
200010,1,5/17/2001,26,10,1026,0,1,0,0
200011,1,5/14/2001,21,25,1021,4,5,0,0
200012,1,1/13/2001,19,25,1019,5,4,0,0
200013,1,3/17/2001,32,16,1032,3,5,0,0
200014,1,5/25/2001,5,27,1005,3,0,0,0
200015,1,4/6/2001,26,4,1026,4,2,0,0
200016,1,12/26/2000,20,32,1020,3,0,0,0
200017,1,11/8/2000,29,10,1029,0,2,0,0
200018,1,11/16/2000,14,3,1014,2,0,0,0
200019,1,10/7/2000,7,24,1007,3,4,0,0
200020,1,3/2/2001,20,5,1020,3,1,0,0
200021,1,4/17/2001,18,22,1018,1,3,0,0
200022,1,2/15/2001,18,19,1018,3,4,0,0
200023,1,4/28/2001,8,26,1008,1,5,0,0
200024,1,5/16/2001,4,11,1004,3,4,0,0
200025,1,6/8/2001,8,27,1008,5,4,0,0
200026,1,11/4/2000,10,4,1010,3,0,0,0
200027,1,3/4/2001,24,18,1024,5,4,0,0
200028,1,12/12/2000,3,25,1003,5,6,1,0
200029,1,12/21/2000,4,20,1004,3,1,0,0
200030,1,3/21/2001,6,2,1006,1,5,0,0
200031,1,10/3/2000,20,11,1020,5,6,1,1
200032,1,4/5/2001,27,29,1027,3,2,0,0
200033,1,11/20/2000,2,10,1002,5,6,1,0
200034,1,6/3/2001,10,16,1010,1,5,0,0
200035,1,3/22/2001,12,25,1012,5,4,1,1
200036,1,4/18/2001,14,30,1014,5,2,0,0
200037,1,11/6/2000,19,24,1019,3,2,1,1
200038,1,5/22/2001,25,30,1025,2,1,0,0
200039,1,2/2/2001,26,7,1026,4,1,0,0
200040,1,4/24/2001,14,4,1014,5,4,1,0
200041,1,11/18/2000,9,12,1009,2,5,0,0
200042,1,6/10/2001,4,7,1004,2,5,0,0
200043,1,11/29/2000,32,28,1032,0,3,0,0
200044,1,1/6/2001,25,27,1025,1,2,0,0
