ID,Start time,Completion time,Email,Name,Last modified time,Date,Staff Name,Location,User,Reason for Visit,Issue presented,Comments
1,9/19/23 13:39:09,9/19/23 13:41:01,anonymous,,,9/19/2023,Nicholas Ngeno,,Student,Tech Help;,Student Email;,Student was not able to log in as it showed his email address was incorrect- Worked with Breanna to get the correct email address and reset it
2,9/25/23 9:13:07,9/25/23 9:14:07,anonymous,,,9/25/2023,Jonas Nelson,,Student,Tech Help;,WIFI;,Student has a legacy ID
3,9/25/23 9:34:00,9/25/23 9:38:05,anonymous,,,9/25/2023,Jonas Nelson,,Staff,Tech Help;,WIFI;,Unable to use the WIFI
4,9/25/23 9:38:08,9/25/23 9:38:55,anonymous,,,9/25/2023,Jonas Nelson,,Staff,Tech Help;,WIFI;,Unable to login to WIFI
5,9/25/23 10:13:30,9/25/23 10:15:36,anonymous,,,9/25/2023,Jonas Nelson,,Student,Computer Usage;Printing;,Other;,No help needed.
6,9/25/23 10:31:43,9/25/23 10:32:17,anonymous,,,9/25/2023,Jonas Nelson,,Student,Computer Usage;Printing;,Other;,a
7,9/25/23 10:32:18,9/25/23 10:34:54,anonymous,,,9/25/2023,Jonas Nelson,,Staff,Printing;Computer Usage;,Other;,No issue
8,9/25/23 10:34:56,9/25/23 10:35:29,anonymous,,,9/25/2023,Jonas Nelson,,Guest,Tech Help;,WIFI;,"Registered recently, unable to connect to WIFI"
9,9/25/23 10:47:22,9/25/23 10:48:13,anonymous,,,9/25/2023,Jonas Nelson,,Student,Computer Usage;Printing;Tech Help;,WIFI;,.
10,9/25/23 11:04:12,9/25/23 11:05:26,anonymous,,,9/25/2023,Jonas Nelson,,Student,Tech Help;,Other;,"Ukrainian ELL student, needed to know her classes.  "
11,9/25/23 11:05:30,9/25/23 11:23:04,anonymous,,,9/25/2023,Jonas Nelson,,Student,Tech Help;,WIFI;,none
12,9/25/23 11:32:17,9/25/23 11:32:58,anonymous,,,9/25/2023,Jonas Nelson,,Student,Computer Usage;,Other;,.
13,9/25/23 11:33:00,9/25/23 11:58:17,anonymous,,,9/25/2023,Jonas Nelson,,Student,Computer Usage;Printing;Tech Help;,WIFI;Other;,Printing Syllabi
14,9/25/23 11:58:20,9/25/23 12:06:31,anonymous,,,9/25/2023,Jonas Nelson,,Student,Tech Help;,Other;,Downloading Adobe products.
15,9/25/23 12:11:54,9/25/23 12:12:32,anonymous,,,9/25/2023,Jonas Nelson,,Student,Computer Usage;,Other;,computer use
16,9/25/23 12:21:31,9/25/23 12:26:41,anonymous,,,9/25/2023,Jonas Nelson,,Student,Printing;,Other;,.
17,9/25/23 12:26:43,9/25/23 12:30:29,anonymous,,,9/25/2023,Jonas Nelson,,Student,Other;,WIFI;,Registered recently and cannot connect to WIFI.
18,9/25/23 12:37:31,9/25/23 12:38:03,anonymous,,,9/25/2023,Jonas Nelson,,Guest,Other;,Other;,Sat in chair by printer.
19,9/25/23 13:02:55,9/25/23 13:03:35,anonymous,,,9/25/2023,Jonas Nelson,,Student,Computer Usage;Tech Help;,WIFI;,Recently registered and cannot connect to WIFI.
20,9/25/23 13:11:07,9/25/23 13:13:16,anonymous,,,9/25/2023,Jonas Nelson,,Staff,Computer Usage;,Other;,.
21,9/25/23 13:23:45,9/25/23 13:24:22,anonymous,,,9/25/2023,Jonas Nelson,,Student,Computer Usage;Tech Help;,WIFI;,.
22,9/25/23 13:25:33,9/25/23 13:29:46,anonymous,,,9/25/2023,Jonas Nelson,,Student,Computer Usage;,Other;,No issues.
23,9/26/23 9:15:54,9/26/23 9:17:47,anonymous,,,9/26/2023,Jacob,,Student,Tech Help;,Canvas;,Student was trying to log into canvas but the wrong one.
24,9/26/23 9:17:59,9/26/23 9:20:10,anonymous,,,9/26/2023,jacob,,Student,Tech Help;,WIFI;,"student needed help getting on the wifi, he as able to connect but got no internet once connected, worked on pierce open, was not a new student"
25,9/26/23 9:37:34,9/26/23 9:38:25,anonymous,,,9/26/2023,jacob,,Student,Tech Help;,Student Email;,student couldnt get into their student email
26,9/26/23 9:33:33,9/26/23 9:56:28,anonymous,,,9/26/2023,Kayla Sumerall,,Staff,Other;Printing;,Other;,Questions about printing
27,9/26/23 9:58:48,9/26/23 10:01:07,anonymous,,,9/26/2023,Priscilla,,Student,Computer Usage;Printing;,Other;,N/A
28,9/26/23 9:58:20,9/26/23 10:01:21,anonymous,,,11/9/2023,Florian Williams,,Student,Tech Help;,Student Email;,Student outlook help
29,9/26/23 10:01:18,9/26/23 10:01:51,anonymous,,,9/26/2023,Priscilla,,Student,Computer Usage;Printing;,Other;,N/A
30,9/26/23 10:01:28,9/26/23 10:02:45,anonymous,,,9/26/2023,Florian Williams,,Student,Tech Help;,Student Email;,Email help
31,9/26/23 10:03:21,9/26/23 10:04:24,anonymous,,,9/26/2023,Florian Williams,,Student,Tech Help;,Student Email;,Student email
32,9/26/23 10:01:54,9/26/23 10:10:10,anonymous,,,9/26/2023,Priscilla,,Student,Tech Help;,WIFI;,N/A
33,9/26/23 10:10:18,9/26/23 10:11:35,anonymous,,,9/26/2023,Priscilla,,Student,Tech Help;,Student Email;,N/A
34,9/26/23 10:11:37,9/26/23 10:12:34,anonymous,,,9/26/2023,Priscilla,,Student,Computer Usage;,Other;,N/A
35,9/26/23 10:12:41,9/26/23 10:13:49,anonymous,,,9/26/2023,Priscilla,,Guest,Other;,Other;,N/A
36,9/26/23 10:13:51,9/26/23 10:14:17,anonymous,,,9/26/2023,Priscilla,,Guest,Computer Usage;,Other;,N/A
37,9/26/23 10:14:32,9/26/23 10:15:26,anonymous,,,9/26/2023,Priscilla,,Student,Tech Help;,Other;,N/A
38,9/26/23 10:15:29,9/26/23 10:16:19,anonymous,,,9/26/2023,Priscilla,,Student,Tech Help;,Student Email;,N/A
39,9/26/23 10:16:31,9/26/23 10:17:17,anonymous,,,9/26/2023,Priscilla,,Guest,Other;,Other;,N/A
40,9/26/23 10:17:40,9/26/23 10:18:21,anonymous,,,9/26/2023,Priscilla,,Guest,Other;,Other;,NA
41,9/26/23 10:18:30,9/26/23 10:19:15,anonymous,,,9/26/2023,Priscilla,,Guest,Other;,Other;,NA
42,9/26/23 10:19:33,9/26/23 10:20:08,anonymous,,,9/26/2023,Priscilla,,Guest,Other;,Other;,NA
43,9/26/23 10:20:12,9/26/23 10:20:45,anonymous,,,9/26/2023,Priscilla,,Guest,Other;,Other;,NA
44,9/26/23 10:20:46,9/26/23 10:21:06,anonymous,,,9/26/2023,Priscilla,,Guest,Other;,Other;,NA
45,9/26/23 10:21:07,9/26/23 10:21:59,anonymous,,,9/26/2023,Priscilla,,Guest,Other;,WIFI;,NA
46,9/26/23 10:22:00,9/26/23 10:22:37,anonymous,,,9/26/2023,Priscilla,,Guest,Tech Help;,WIFI;,NA
47,9/26/23 10:22:39,9/26/23 10:27:11,anonymous,,,9/26/2023,Priscilla,,Student,Computer Usage;,Other;,NA
48,9/26/23 10:27:13,9/26/23 10:27:47,anonymous,,,9/26/2023,Priscilla,,Student,Computer Usage;,Other;,NA
49,9/26/23 10:27:57,9/26/23 10:28:16,anonymous,,,9/26/2023,Priscilla,,Guest,Tech Help;,WIFI;,NA
50,9/26/23 9:31:39,9/26/23 10:31:46,anonymous,,,9/26/2023,Teresia,,Student,Other;,Other;,The student was seeking to contact his advisor to be able to change his classes. He was guided on how to get on starfish and contact them.
51,9/26/23 10:34:21,9/26/23 10:35:06,anonymous,,,9/26/2023,Priscilla,,Guest,Other;,Other;,NA
52,9/26/23 10:35:11,9/26/23 10:46:50,anonymous,,,9/26/2023,Priscilla,,Student,Tech Help;Study Table;,WIFI;,N/A
53,9/26/23 10:50:02,9/26/23 10:51:08,anonymous,,,9/26/2023,Florian Williams,,Student,Tech Help;,WIFI;,Received help
