GameID,SeasonID,Date,HomeTeamID,AwayTeamID,VenueID,HomeTeamScore,AwayTeamScore,Overtime,Shootout
20001,1,2001-03-22,9,17,1009,4,1,0,0
20002,1,2000-12-20,15,17,1015,0,4,0,0
20003,1,2001-06-03,25,9,1025,4,5,1,1
20004,1,2001-03-01,5,32,1005,3,1,0,0
20005,1,2000-10-28,21,16,1021,1,0,0,0
20006,1,2000-10-26,19,11,1019,0,1,1,0
20007,1,2000-10-04,22,17,1022,5,6,1,1
20008,1,2000-11-18,29,26,1029,5,3,0,0
20009,1,2000-11-09,12,19,1012,5,2,0,0
200010,1,2001-01-13,2,1,1002,0,5,0,0
200011,1,2000-12-30,7,12,1007,1,0,0,0
200012,1,2000-12-04,11,25,1011,0,1,1,0
200013,1,2000-11-02,1,7,1001,5,1,0,0
200014,1,2001-05-11,14,18,1014,1,2,1,1
200015,1,2001-06-02,12,8,1012,5,0,0,0
200016,1,2000-10-13,17,14,1017,0,2,0,0
200017,1,2001-04-20,6,14,1006,5,1,0,0
200018,1,2000-12-28,4,9,1004,0,1,1,0
200019,1,2000-11-23,25,7,1025,4,0,0,0
200020,1,2001-03-09,23,4,1023,4,3,1,1
200021,1,2001-01-15,32,27,1032,4,5,0,0
200022,1,2000-10-08,18,29,1018,5,0,0,0
200023,1,2001-06-01,26,21,1026,1,4,0,0
200024,1,2001-05-29,31,16,1031,5,2,0,0
200025,1,2000-10-16,31,9,1031,0,3,0,0
200026,1,2001-04-04,6,2,1006,4,5,0,0
200027,1,2001-02-18,6,9,1006,5,0,0,0
200028,1,2000-10-31,15,31,1015,3,0,0,0
200029,1,2001-05-15,9,19,1009,4,5,0,0
200030,1,2001-04-19,1,15,1001,3,4,0,0
200031,1,2001-03-27,19,30,1019,1,3,0,0
200032,1,2001-02-21,19,18,1019,5,2,0,0
200033,1,2000-12-19,8,22,1008,2,5,0,0
200034,1,2001-01-29,31,22,1031,5,1,0,0
200035,1,2001-03-16,24,7,1024,4,5,0,0
200036,1,2000-11-16,18,4,1018,3,2,1,0
200037,1,2001-05-06,18,20,1018,2,5,0,0
200038,1,2001-01-22,32,2,1032,1,5,0,0
200039,1,2001-05-08,32,30,1032,0,1,1,0
200040,1,2000-11-08,32,24,1032,5,3,0,0
200041,1,2001-05-10,17,6,1017,2,0,0,0
200042,1,2001-02-11,2,10,1002,3,0,0,0
200043,1,2001-05-05,15,1,1015,3,1,0,0
200044,1,2001-03-13,12,26,1012,4,2,0,0
200045,1,2001-05-23,3,26,1003,4,3,0,0
200046,1,2001-03-12,15,4,1015,4,3,1,1
200047,1,2001-02-23,21,24,1021,4,5,1,1
200048,1,2001-01-18,9,13,1009,0,3,0,0
200049,1,2001-01-04,32,6,1032,4,3,1,1
200050,1,2001-01-03,6,4,1006,3,4,1,0
200051,1,2000-12-27,19,14,1019,4,5,0,0
200052,1,2000-12-14,4,30,1004,5,3,0,0
200053,1,2001-04-16,20,22,1020,4,1,0,0
200054,1,2001-02-27,25,27,1025,0,5,0,0
200055,1,2001-06-14,11,22,1011,0,4,0,0
200056,1,2001-03-30,27,23,1027,2,4,0,0
200057,1,2001-05-07,22,16,1022,1,5,0,0
200058,1,2001-04-25,30,6,1030,0,2,0,0
200059,1,2000-11-24,29,11,1029,5,3,0,0
200060,1,2000-12-02,6,18,1006,4,0,0,0
200061,1,2001-06-10,15,6,1015,3,0,0,0
200062,1,2001-01-28,12,24,1012,2,1,0,0
200063,1,2000-11-28,25,10,1025,5,1,0,0
200064,1,2001-03-28,12,27,1012,5,3,0,0
200065,1,2001-02-25,14,20,1014,5,4,0,0
200066,1,2001-03-25,11,19,1011,0,5,0,0
200067,1,2000-10-19,26,23,1026,2,1,1,0
200068,1,2001-04-08,32,29,1032,1,0,0,0
200069,1,2000-11-30,9,27,1009,1,4,0,0
200070,1,2001-05-25,32,17,1032,2,5,0,0
200071,1,2001-02-05,3,6,1003,1,0,0,0
200072,1,2001-03-06,23,28,1023,1,3,0,0
200073,1,2000-12-26,8,1,1008,3,5,0,0
200074,1,2000-10-12,10,11,1010,3,2,1,0
200075,1,2001-03-11,6,3,1006,3,4,1,0
200076,1,2001-01-07,9,16,1009,1,3,0,0
200077,1,2001-02-24,21,22,1021,3,4,0,0
200078,1,2001-03-21,30,19,1030,0,2,0,0
200079,1,2001-04-30,10,5,1010,5,3,0,0
200080,1,2001-01-27,11,4,1011,2,4,0,0
200081,1,2001-01-26,19,13,1019,2,0,0,0
200082,1,2001-06-13,6,27,1006,4,5,0,0
200083,1,2001-01-24,23,11,1023,0,5,0,0
200084,1,2000-12-31,25,23,1025,1,2,0,0
200085,1,2001-01-12,15,21,1015,5,3,0,0
200086,1,2001-05-01,22,4,1022,2,0,0,0
200087,1,2001-04-02,11,26,1011,5,4,0,0
200088,1,2000-11-07,6,22,1006,3,2,0,0
200089,1,2001-03-26,24,26,1024,2,5,0,0
200090,1,2001-04-18,5,14,1005,5,6,1,0
200091,1,2001-03-05,7,3,1007,4,0,0,0
200092,1,2001-05-28,1,20,1001,4,5,0,0
200093,1,2000-12-25,31,20,1031,4,1,0,0
200094,1,2001-02-02,30,32,1030,0,1,1,1
200095,1,2001-05-30,31,13,1031,0,1,0,0
200096,1,2000-11-01,20,27,1020,2,5,0,0
200097,1,2001-02-17,20,17,1020,0,5,0,0
200098,1,2001-03-20,4,2,1004,2,3,0,0
