PlayerID,SeasonID,Goals,Assists,ShotsOnGoal,BlockedShots,TimeOnIce
1,1,1,7,74,60,3392
1,2,26,27,28,1,2300
1,3,13,5,50,75,2083
1,4,16,40,61,77,3725
1,5,6,4,43,70,2959
1,6,33,8,80,78,1820
1,7,14,36,52,56,2933
1,8,39,32,70,1,3021
1,9,36,9,37,60,2652
1,10,13,34,36,49,1662
1,11,28,24,3,73,2468
1,12,48,39,29,68,1101
1,13,31,38,47,55,2598
1,14,48,32,57,33,2584
1,15,9,16,16,38,2404
1,16,23,24,37,1,1425
1,17,35,20,73,69,3538
1,18,44,45,69,37,1495
1,19,11,7,50,47,1586
1,20,12,14,41,56,1134
2,1,5,10,61,21,2841
2,2,43,44,45,73,1367
2,3,34,26,41,19,3170
2,4,10,30,3,76,2210
2,5,29,43,15,73,2959
2,6,35,3,20,50,2731
2,7,43,18,72,49,2777
2,8,2,4,35,64,1597
2,9,5,28,10,16,1760
2,10,1,7,74,10,1907
2,11,34,44,65,12,1172
2,12,46,45,47,31,1794
2,13,30,15,69,31,3058
2,14,40,24,54,17,2479
2,15,39,2,1,80,1435
2,16,48,28,22,76,3073
2,17,43,13,34,28,2767
2,18,6,45,46,3,2865
2,19,26,31,73,36,3129
2,20,30,34,55,30,3581
3,1,27,20,68,33,2553
3,2,44,13,18,38,1255
3,3,43,11,24,12,1345
3,4,41,50,22,68,1545
3,5,41,28,73,43,3752
3,6,39,33,13,51,3015
3,7,3,3,62,8,2234
3,8,4,32,76,12,2127
3,9,50,15,31,27,1747
3,10,5,34,30,42,1649
3,11,14,45,37,37,1187
3,12,15,36,45,0,2910
3,13,23,15,80,75,3463
3,14,5,21,63,56,3701
3,15,33,50,59,53,1679
3,16,2,3,5,14,2346
3,17,12,20,36,2,3286
3,18,18,19,60,9,3312
3,19,10,24,58,37,1812
3,20,22,49,37,4,2505
4,1,24,48,45,66,1564
4,2,16,27,43,8,1540
4,3,30,17,5,43,1470
4,4,18,9,51,26,3277
4,5,26,36,54,52,2827
4,6,23,21,15,26,1580
4,7,49,39,18,13,2550
4,8,49,30,58,16,1941
4,9,36,5,37,13,2864
4,10,41,25,77,34,3738
4,11,50,44,1,44,2510
4,12,9,5,38,72,3095
4,13,11,46,65,42,2622
4,14,40,18,45,29,2640
4,15,18,1,70,57,3165
4,16,1,16,56,27,2539
4,17,31,20,20,8,1336
4,18,8,16,46,30,1061
4,19,15,18,49,61,1708
4,20,18,2,10,36,1530
5,1,37,36,45,52,1823
5,2,37,40,51,41,3203
5,3,36,25,28,61,3536
5,4,1,1,42,80,2791
5,5,45,18,5,5,2742
5,6,31,44,55,32,2594
5,7,1,34,30,63,3770
5,8,4,11,35,55,1701
5,9,5,30,43,54,3527
5,10,31,10,58,62,2614
5,11,9,4,44,11,2776
5,12,43,36,40,23,2718
5,13,12,28,53,4,1085
5,14,42,33,16,61,1874
5,15,24,38,23,48,1369
5,16,26,34,31,28,3249
5,17,48,39,54,55,2762
5,18,42,35,60,15,3056
5,19,2,2,68,25,1031
5,20,28,5,68,69,3089
6,1,17,5,7,79,3206
6,2,6,3,17,24,3573
6,3,33,21,71,29,2096
6,4,3,14,16,24,1938
6,5,32,19,34,78,3629
6,6,32,40,38,66,1628
6,7,41,46,78,1,2884
6,8,41,23,77,1,2152
6,9,34,47,62,68,3338
6,10,34,26,68,1,1478
6,11,44,27,73,12,2075
6,12,46,14,0,71,2901
6,13,14,16,7,7,3639
6,14,16,49,21,7,1659
6,15,19,26,58,44,3083
6,16,26,35,47,61,1272
6,17,2,3,77,6,3565
6,18,24,32,4,52,1818
6,19,39,40,50,68,3386
6,20,46,47,10,43,3576
7,1,23,16,76,46,1059
7,2,7,14,65,47,2160
7,3,27,34,42,2,2800
7,4,39,36,58,34,3736
7,5,17,15,9,4,2547
7,6,44,14,31,61,2115
7,7,42,50,53,1,2082
7,8,15,2,6,28,1109
7,9,13,44,69,32,1500
7,10,13,32,27,65,3758
7,11,14,19,70,73,2238
7,12,14,24,15,55,3294
7,13,38,11,38,78,2305
7,14,12,45,24,37,2835
7,15,44,5,48,33,1720
7,16,20,48,8,20,1930
7,17,21,4,65,10,1182
7,18,31,43,32,21,3128
7,19,40,3,39,16,1722
7,20,20,22,63,80,1892
8,1,40,39,5,73,1561
8,2,26,45,28,54,2438
8,3,1,6,27,0,1022
8,4,40,1,35,67,1050
8,5,40,36,51,9,2589
8,6,3,29,44,41,1788
8,7,50,18,40,73,3284
8,8,42,29,7,20,2580
8,9,16,14,30,30,3533
8,10,25,37,29,54,3517
8,11,36,10,5,70,2905
8,12,22,9,44,71,3828
8,13,36,14,16,31,3453
8,14,8,22,22,62,1739
8,15,29,36,47,56,3592
8,16,16,6,74,70,3121
8,17,12,36,77,76,1466
8,18,29,17,80,75,3736
8,19,19,32,47,58,1713
8,20,34,35,20,56,3463
9,1,18,32,44,20,2238
9,2,39,18,48,1,2087
9,3,11,42,25,11,1922
9,4,28,19,79,2,2716
9,5,21,40,55,10,3261
9,6,27,11,43,76,2873
9,7,33,46,0,11,2184
9,8,7,49,17,52,3182
9,9,17,44,6,67,2158
9,10,9,16,56,63,3833
9,11,18,29,71,58,3788
9,12,41,7,53,37,3300
9,13,27,33,44,16,1316
9,14,18,39,26,57,3700
9,15,43,46,24,17,1088
9,16,9,42,8,57,1273
9,17,9,21,43,64,3399
9,18,42,38,48,68,3709
9,19,18,13,24,31,1723
9,20,15,25,41,78,2027
10,1,38,22,71,35,3537
10,2,44,44,79,36,3371
10,3,31,16,20,52,2612
10,4,36,44,49,31,1743
10,5,45,38,31,30,1159
